,code,name1,name2,type,name3
0,000001,HXCZHH,华夏成长混合,混合型-灵活,HUAXIACHENGZHANGHUNHE
1,000002,HXCZHH,华夏成长混合(后端),混合型-灵活,HUAXIACHENGZHANGHUNHE
2,000003,ZHKZZZQA,中海可转债债券A,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANA
3,000004,ZHKZZZQC,中海可转债债券C,债券型-混合二级,ZHONGHAIKEZHUANZHAIZHAIQUANC
4,000005,JSZQXYDQZQ,嘉实增强信用定期债券,债券型-混合一级,JIASHIZENGQIANGXINYONGDINGQIZHAIQUAN
5,000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型-偏股,XIBULIDELIANGHUACHENGZHANGHUNHEA
6,000008,JSZZ500ETFLJA,嘉实中证500ETF联接A,指数型-股票,JIASHIZHONGZHENG500ETFLIANJIEA
7,000009,YFDTTLCHBA,易方达天天理财货币A,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIA
8,000010,YFDTTLCHBB,易方达天天理财货币B,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIB
9,000011,HXDPJXHHA,华夏大盘精选混合A,混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
10,000012,HXDPJXHHA,华夏大盘精选混合A(后端),混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
11,000013,YFDTTLCHBR,易方达天天理财货币R,货币型-普通货币,YIFANGDATIANTIANLICAIHUOBIR
12,000014,HXJLZQA,华夏聚利债券A,债券型-混合一级,HUAXIAJULIZHAIQUANA
13,000015,HXCZZQA,华夏纯债债券A,债券型-长债,HUAXIACHUNZHAIZHAIQUANA
14,000016,HXCZZQC,华夏纯债债券C,债券型-长债,HUAXIACHUNZHAIZHAIQUANC
15,000017,CTKCXHH,财通可持续混合,混合型-偏股,CAITONGKECHIXUHUNHE
16,000020,JSCCPZTZHHA,景顺长城品质投资混合A,混合型-偏股,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA
17,000021,HXYSZZHH,华夏优势增长混合,混合型-偏股,HUAXIAYOUSHIZENGZHANGHUNHE
18,000024,DMSLZQZQA,大摩双利增强债券A,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANA
19,000025,DMSLZQZQC,大摩双利增强债券C,债券型-混合一级,DAMOSHUANGLIZENGQIANGZHAIQUANC
20,000028,HFAXZQA,华富安鑫债券A,债券型-混合二级,HUAFUANXINZHAIQUANA
21,000029,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A,混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
22,000030,CCHXYXHHA,长城核心优选混合A,混合型-灵活,CHANGCHENGHEXINYOUXUANHUNHEA
23,000031,HXFXHHA,华夏复兴混合A,混合型-偏股,HUAXIAFUXINGHUNHEA
24,000032,YFDXYZZQA,易方达信用债债券A,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANA
25,000033,YFDXYZZQC,易方达信用债债券C,债券型-长债,YIFANGDAXINYONGZHAIZHAIQUANC
26,000037,GFJNZQA,广发景宁债券A,债券型-长债,GUANGFAJINGNINGZHAIQUANA
27,000039,NYGZZHH,农银高增长混合,混合型-偏股,NONGYINGAOZENGZHANGHUNHE
28,000041,HXQQGPQDIIRMB,华夏全球股票(QDII)(人民币),QDII-普通股票,HUAXIAQUANQIUGUPIAOQDIIRENMINBI
29,000042,CTZZESG100ZSZQA,财通中证ESG100指数增强A,指数型-股票,CAITONGZHONGZHENGESG100ZHISHUZENGQIANGA
30,000043,JSMGCZGPRMB,嘉实美国成长股票人民币,QDII-普通股票,JIASHIMEIGUOCHENGZHANGGUPIAORENMINBI
31,000044,JSMGCZGPMYXH,嘉实美国成长股票美元现汇,QDII-普通股票,JIASHIMEIGUOCHENGZHANGGUPIAOMEIYUANXIANHUI
32,000045,GYCYZZQA,工银产业债债券A,债券型-混合二级,GONGYINCHANYEZHAIZHAIQUANA
33,000046,GYCYZZQB,工银产业债债券B,债券型-混合二级,GONGYINCHANYEZHAIZHAIQUANB
34,000047,HXSZZQA,华夏双债债券A,债券型-混合一级,HUAXIASHUANGZHAIZHAIQUANA
35,000048,HXSZZQC,华夏双债债券C,债券型-混合一级,HUAXIASHUANGZHAIZHAIQUANC
36,000051,HXHS300ETFLJA,华夏沪深300ETF联接A,指数型-股票,HUAXIAHUSHEN300ETFLIANJIEA
37,000053,PHYCYNDKZQ,鹏华永诚一年定开债券,债券型-长债,PENGHUAYONGCHENGYINIANDINGKAIZHAIQUAN
38,000054,PHSZZLZQA,鹏华双债增利债券A,债券型-混合二级,PENGHUASHUANGZHAIZENGLIZHAIQUANA
39,000055,GFNSDK100ETFLJMYQDIIA,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,GUANGFANASIDAKE100ETFLIANJIEMEIYUANQDIIA
40,000056,JXXFSJHH,建信消费升级混合,混合型-灵活,JIANXINXIAOFEISHENGJIHUNHE
41,000057,ZYXFZTHHA,中银消费主题混合A,混合型-偏股,ZHONGYINXIAOFEIZHUTIHUNHEA
42,000058,GLAATLHPZHH,国联安安泰灵活配置混合,混合型-灵活,GUOLIANANANTAILINGHUOPEIZHIHUNHE
43,000059,GLAZZYY100A,国联安中证医药100A,指数型-股票,GUOLIANANZHONGZHENGYIYAO100A
44,000061,HXSSHH,华夏盛世混合,混合型-偏股,HUAXIASHENGSHIHUNHE
45,000063,CSDZXXZTLHPZHH,长盛电子信息主题灵活配置混合,混合型-灵活,CHANGSHENGDIANZIXINXIZHUTILINGHUOPEIZHIHUNHE
46,000064,DM18GYDKZC,大摩18个月定开债C,债券型-长债,DAMO18GEYUEDINGKAIZHAIC
47,000065,GFJDQDHHA,国富焦点驱动混合A,混合型-灵活,GUOFUJIAODIANQUDONGHUNHEA
48,000066,NAHXHHA,诺安鸿鑫混合A,混合型-偏股,NUOANHONGXINHUNHEA
49,000067,MSJYZZYXA,民生加银转债优选A,债券型-混合二级,MINSHENGJIAYINZHUANZHAIYOUXUANA
50,000068,MSJYZZYXC,民生加银转债优选C,债券型-混合二级,MINSHENGJIAYINZHUANZHAIYOUXUANC
51,000069,GTRYZGDJZQA,国投瑞银中高等级债券A,债券型-混合一级,GUOTOURUIYINZHONGGAODENGJIZHAIQUANA
52,000070,GTRYZGDJZQC,国投瑞银中高等级债券C,债券型-混合一级,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC
53,000071,HXHSETFLJA,华夏恒生ETF联接A,指数型-海外股票,HUAXIAHENGSHENGETFLIANJIEA
54,000072,HAWJHBHHA,华安稳健回报混合A,混合型-灵活,HUAANWENJIANHUIBAOHUNHEA
55,000073,MGCZDLHHA,摩根成长动力混合A,混合型-灵活,MOGENCHENGZHANGDONGLIHUNHEA
56,000074,GYXYCZYNDKZA,工银信用纯债一年定开债A,债券型-长债,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIA
57,000075,HXHSETFLJXH,华夏恒生ETF联接现汇,指数型-海外股票,HUAXIAHENGSHENGETFLIANJIEXIANHUI
58,000076,HXHSETFLJXC,华夏恒生ETF联接现钞,指数型-海外股票,HUAXIAHENGSHENGETFLIANJIEXIANCHAO
59,000077,GYXYCZYNDKZC,工银信用纯债一年定开债C,债券型-长债,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIC
60,000078,GYXYCZSGYDKZA,工银信用纯债三个月定开债A,债券型-长债,GONGYINXINYONGCHUNZHAISANGEYUEDINGKAIZHAIA
61,000079,GYXYCZSGYDKZC,工银信用纯债三个月定开债C,债券型-长债,GONGYINXINYONGCHUNZHAISANGEYUEDINGKAIZHAIC
62,000080,TZKZZZQZQA,天治可转债增强债券A,债券型-混合二级,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANA
63,000081,TZKZZZQZQC,天治可转债增强债券C,债券型-混合二级,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANC
64,000082,JSYJAEFGPA,嘉实研究阿尔法股票A,股票型,JIASHIYANJIUAERFAGUPIAOA
65,000083,HTFXFHYHH,汇添富消费行业混合,混合型-偏股,HUITIANFUXIAOFEIHANGYEHUNHE
66,000084,BSAYZQA,博时安盈债券A,债券型-中短债,BOSHIANYINGZHAIQUANA
67,000085,BSAYZQC,博时安盈债券C,债券型-中短债,BOSHIANYINGZHAIQUANC
68,000086,NFWL1NCYQZQA,南方稳利1年持有期债券A,债券型-长债,NANFANGWENLI1NIANCHIYOUQIZHAIQUANA
69,000089,MSJYGDJXYZC,民生加银高等级信用债C,债券型-中短债,MINSHENGJIAYINGAODENGJIXINYONGZHAIC
70,000090,MSJYGDJXYZA,民生加银高等级信用债A,债券型-中短债,MINSHENGJIAYINGAODENGJIXINYONGZHAIA
71,000103,GTZGQYJWGSYZ,国泰中国企业境外高收益债,QDII-纯债,GUOTAIZHONGGUOQIYEJINGWAIGAOSHOUYIZHAI
72,000104,HCWLWJTLZQA,华宸未来稳健添利债券A,债券型-混合一级,HUACHENWEILAIWENJIANTIANLIZHAIQUANA
73,000105,JXAXHBZQA,建信安心回报债券A,债券型-长债,JIANXINANXINHUIBAOZHAIQUANA
74,000106,JXAXHBZQC,建信安心回报债券C,债券型-长债,JIANXINANXINHUIBAOZHAIQUANC
75,000107,FGWJZQZQAB,富国稳健增强债券A/B,债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANAB
76,000108,FGWJZQZQAB,富国稳健增强债券A/B(后端),债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANAB
77,000109,FGWJZQZQC,富国稳健增强债券C,债券型-混合二级,FUGUOWENJIANZENGQIANGZHAIQUANC
78,000110,JYYAHHA,金鹰元安混合A,混合型-偏债,JINYINGYUANANHUNHEA
79,000111,YFDCZ1NDKZA,易方达纯债1年定开债A,债券型-长债,YIFANGDACHUNZHAI1NIANDINGKAIZHAIA
80,000112,YFDCZ1NDKZC,易方达纯债1年定开债C,债券型-长债,YIFANGDACHUNZHAI1NIANDINGKAIZHAIC
81,000116,JSFYCZDQZQA,嘉实丰益纯债定期债券A,债券型-长债,JIASHIFENGYICHUNZHAIDINGQIZHAIQUANA
82,000117,GFLDPZHH,广发轮动配置混合,混合型-偏股,GUANGFALUNDONGPEIZHIHUNHE
83,000118,GFJXZQA,广发聚鑫债券A,债券型-混合二级,GUANGFAJUXINZHAIQUANA
84,000119,GFJXZQC,广发聚鑫债券C,债券型-混合二级,GUANGFAJUXINZHAIQUANC
85,000120,ZYMLZGHH,中银美丽中国混合,混合型-偏股,ZHONGYINMEILIZHONGGUOHUNHE
86,000121,HXYFHHA,华夏永福混合A,混合型-偏债,HUAXIAYONGFUHUNHEA
87,000122,HTFSYZZQA,汇添富实业债债券A,债券型-混合一级,HUITIANFUSHIYEZHAIZHAIQUANA
88,000123,HTFSYZZQC,汇添富实业债债券C,债券型-混合一级,HUITIANFUSHIYEZHAIZHAIQUANC
89,000124,HBFWYXHH,华宝服务优选混合,混合型-偏股,HUABAOFUWUYOUXUANHUNHE
90,000126,ZSARLHPZHHA,招商安润灵活配置混合A,混合型-灵活,ZHAOSHANGANRUNLINGHUOPEIZHIHUNHEA
91,000127,NYHYLXHH,农银行业领先混合,混合型-偏股,NONGYINHANGYELINGXIANHUNHE
92,000128,DCJADRZQA,大成景安短融债券A,债券型-中短债,DACHENGJINGANDUANRONGZHAIQUANA
93,000129,DCJADRZQB,大成景安短融债券B,债券型-中短债,DACHENGJINGANDUANRONGZHAIQUANB
94,000130,DCJXXYZZQA,大成景兴信用债债券A,债券型-混合一级,DACHENGJINGXINGXINYONGZHAIZHAIQUANA
95,000131,DCJXXYZZQC,大成景兴信用债债券C,债券型-混合一级,DACHENGJINGXINGXINYONGZHAIZHAIQUANC
96,000134,ZXBCJHZQA,中信保诚嘉鸿债券A,债券型-长债,ZHONGXINBAOCHENGJIAHONGZHAIQUANA
97,000135,ZXBCJHZQC,中信保诚嘉鸿债券C,债券型-长债,ZHONGXINBAOCHENGJIAHONGZHAIQUANC
98,000136,MSJYCLJXHHA,民生加银策略精选混合A,混合型-灵活,MINSHENGJIAYINCELUEJINGXUANHUNHEA
99,000137,MSJYSSZLZQA,民生加银岁岁增利债券A,债券型-长债,MINSHENGJIAYINSUISUIZENGLIZHAIQUANA
100,000138,MSJYSSZLZQC,民生加银岁岁增利债券C,债券型-长债,MINSHENGJIAYINSUISUIZENGLIZHAIQUANC
101,000139,FGGYQYZZQAB,富国国有企业债债券A/B,债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
102,000140,FGGYQYZZQAB,富国国有企业债债券A/B(后端),债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANAB
103,000141,FGGYQYZZQC,富国国有企业债债券C,债券型-长债,FUGUOGUOYOUQIYEZHAIZHAIQUANC
104,000142,RTZQSYZQA,融通增强收益债券A,债券型-混合二级,RONGTONGZENGQIANGSHOUYIZHAIQUANA
105,000143,PHSZJLZQA,鹏华双债加利债券A,债券型-混合二级,PENGHUASHUANGZHAIJIALIZHAIQUANA
106,000147,YFDGDJXYZZQA,易方达高等级信用债债券A,债券型-长债,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANA
107,000148,YFDGDJXYZZQC,易方达高等级信用债债券C,债券型-长债,YIFANGDAGAODENGJIXINYONGZHAIZHAIQUANC
108,000149,HASZTLZQA,华安双债添利债券A,债券型-混合一级,HUAANSHUANGZHAITIANLIZHAIQUANA
109,000150,HASZTLZQC,华安双债添利债券C,债券型-混合一级,HUAANSHUANGZHAITIANLIZHAIQUANC
110,000152,DCJXCZZQA,大成景旭纯债债券A,债券型-长债,DACHENGJINGXUCHUNZHAIZHAIQUANA
111,000153,DCJXCZZQC,大成景旭纯债债券C,债券型-长债,DACHENGJINGXUCHUNZHAIZHAIQUANC
112,000154,FGHS300ZSZQA,富国沪深300指数增强A(后端),指数型-股票,FUGUOHUSHEN300ZHISHUZENGQIANGA
113,000155,FGTZTSZTLDHHA,富国通胀通缩主题轮动混合A(后端),混合型-偏股,FUGUOTONGZHANGTONGSUOZHUTILUNDONGHUNHEA
114,000157,FGQQKJHLWGPQDIIA,富国全球科技互联网股票(QDII)A(后端),QDII-普通股票,FUGUOQUANQIUKEJIHULIANWANGGUPIAOQDIIA
115,000158,FGDTHBHH,富国低碳环保混合(后端),混合型-偏股,FUGUODITANHUANBAOHUNHE
116,000159,FGGXJSCYHH,富国高新技术产业混合(后端),混合型-偏股,FUGUOGAOXINJISHUCHANYEHUNHE
117,000160,FGQHBDKZAB,富国强回报定开债A/B(后端),债券型-长债,FUGUOQIANGHUIBAODINGKAIZHAIAB
118,000161,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A(后端),混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
119,000162,FGZGZXPHHQDIIRMB,富国中国中小盘混合(QDII)人民币(后端),QDII-混合偏股,FUGUOZHONGGUOZHONGXIAOPANHUNHEQDIIRENMINBI
120,000164,FGSZZSETFLJA,富国上证指数ETF联接A(后端),指数型-股票,FUGUOSHANGZHENGZHISHUETFLIANJIEA
121,000165,GTRYCLJXHH,国投瑞银策略精选混合,混合型-灵活,GUOTOURUIYINCELUEJINGXUANHUNHE
122,000166,ZHXXCYHHA,中海信息产业混合A,混合型-偏股,ZHONGHAIXINXICHANYEHUNHEA
123,000167,GFJYLHPZHHA,广发聚优灵活配置混合A,混合型-灵活,GUANGFAJUYOULINGHUOPEIZHIHUNHEA
124,000171,YFDYFHBZQA,易方达裕丰回报债券A,债券型-混合二级,YIFANGDAYUFENGHUIBAOZHAIQUANA
125,000172,HTBRLHZQHHA,华泰柏瑞量化增强混合A,混合型-偏股,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA
126,000173,HTFML30HHA,汇添富美丽30混合A,混合型-偏股,HUITIANFUMEILI30HUNHEA
127,000174,HTFGXZZQA,汇添富高息债债券A,债券型-混合一级,HUITIANFUGAOXIZHAIZHAIQUANA
128,000175,HTFGXZZQC,汇添富高息债债券C,债券型-混合一级,HUITIANFUGAOXIZHAIZHAIQUANC
129,000176,JSHS300ZSYJZQA,嘉实沪深300指数研究增强A,指数型-股票,JIASHIHUSHEN300ZHISHUYANJIUZENGQIANGA
130,000179,GFMGFDCZSRMBQDIIA,广发美国房地产指数人民币(QDII)A,指数型-海外股票,GUANGFAMEIGUOFANGDICHANZHISHURENMINBIQDIIA
131,000180,GFMGFDCZSMYXHQDIIA,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,GUANGFAMEIGUOFANGDICHANZHISHUMEIYUANXIANHUIQDIIA
132,000181,JSCCSJJLZQA,景顺长城四季金利债券A,债券型-混合二级,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANA
133,000182,JSCCSJJLZQC,景顺长城四季金利债券C,债券型-混合二级,JINGSHUNCHANGCHENGSIJIJINLIZHAIQUANC
134,000183,JSFYCLDQZQ,嘉实丰益策略定期债券,债券型-混合一级,JIASHIFENGYICELUEDINGQIZHAIQUAN
135,000184,GYTFZQA,工银添福债券A,债券型-混合二级,GONGYINTIANFUZHAIQUANA
136,000185,GYTFZQB,工银添福债券B,债券型-混合二级,GONGYINTIANFUZHAIQUANB
137,000186,HTBRJJHZQA,华泰柏瑞季季红债券A,债券型-混合一级,HUATAIBAIRUIJIJIHONGZHAIQUANA
138,000187,HTBRFSCZZQA,华泰柏瑞丰盛纯债债券A,债券型-长债,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANA
139,000188,HTBRFSCZZQC,华泰柏瑞丰盛纯债债券C,债券型-长债,HUATAIBAIRUIFENGSHENGCHUNZHAIZHAIQUANC
140,000189,YFDFHZQA,易方达丰华债券A,债券型-混合二级,YIFANGDAFENGHUAZHAIQUANA
141,000190,ZYXHBLHPZHHA,中银新回报灵活配置混合A,混合型-灵活,ZHONGYINXINHUIBAOLINGHUOPEIZHIHUNHEA
142,000191,FGXYZZQAB,富国信用债债券A/B,债券型-长债,FUGUOXINYONGZHAIZHAIQUANAB
143,000192,FGXYZZQC,富国信用债债券C,债券型-长债,FUGUOXINYONGZHAIZHAIQUANC
144,000194,YHXYSJHZQA,银华信用四季红债券A,债券型-长债,YINHUAXINYONGSIJIHONGZHAIQUANA
145,000195,GYCZSYHHA,工银成长收益混合A,混合型-灵活,GONGYINCHENGZHANGSHOUYIHUNHEA
146,000196,GYCZSYHHB,工银成长收益混合B,混合型-灵活,GONGYINCHENGZHANGSHOUYIHUNHEB
147,000197,FGMBSYYNQCZZQ,富国目标收益一年期纯债债券,债券型-长债,FUGUOMUBIAOSHOUYIYINIANQICHUNZHAIZHAIQUAN
148,000198,THYEBHB,天弘余额宝货币,货币型-普通货币,TIANHONGYUEBAOHUOBI
149,000199,GTLHCLSYHHA,国泰量化策略收益混合A,混合型-偏股,GUOTAILIANGHUACELUESHOUYIHUNHEA
150,000200,BSSSZLYNCYQZQA,博时岁岁增利一年持有期债券A,债券型-中短债,BOSHISUISUIZENGLIYINIANCHIYOUQIZHAIQUANA
151,000201,NATXYNDQKFZQA,诺安泰鑫一年定期开放债券A,债券型-长债,NUOANTAIXINYINIANDINGQIKAIFANGZHAIQUANA
152,000203,GFRRSYHBA,国富日日收益货币A,货币型-普通货币,GUOFURIRISHOUYIHUOBIA
153,000204,GFRRSYHBB,国富日日收益货币B,货币型-普通货币,GUOFURIRISHOUYIHUOBIB
154,000205,YFDTZJXYZZQA,易方达投资级信用债债券A,债券型-长债,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANA
155,000206,YFDTZJXYZZQC,易方达投资级信用债债券C,债券型-长债,YIFANGDATOUZIJIXINYONGZHAIZHAIQUANC
156,000207,JXSZZQZQA,建信双债增强债券A,债券型-混合一级,JIANXINSHUANGZHAIZENGQIANGZHAIQUANA
157,000208,JXSZZQZQC,建信双债增强债券C,债券型-混合一级,JIANXINSHUANGZHAIZENGQIANGZHAIQUANC
158,000209,ZXBCXXCYHHA,中信保诚新兴产业混合A,混合型-偏股,ZHONGXINBAOCHENGXINXINGCHANYEHUNHEA
159,000210,GDXJBHBA,光大现金宝货币A,货币型-普通货币,GUANGDAXIANJINBAOHUOBIA
160,000211,GDXJBHBB,光大现金宝货币B,货币型-普通货币,GUANGDAXIANJINBAOHUOBIB
161,000212,TXXYDQKFA,泰信鑫益定期开放A,债券型-长债,TAIXINXINYIDINGQIKAIFANGA
162,000213,TXXYDQKFC,泰信鑫益定期开放C,债券型-长债,TAIXINXINYIDINGQIKAIFANGC
163,000214,GFCZYXHH,广发成长优选混合,混合型-灵活,GUANGFACHENGZHANGYOUXUANHUNHE
164,000215,GFQSYXLHPZHHA,广发趋势优选灵活配置混合A,混合型-灵活,GUANGFAQUSHIYOUXUANLINGHUOPEIZHIHUNHEA
165,000216,HAHJYETFLJA,华安黄金易ETF联接A,指数型-其他,HUAANHUANGJINYIETFLIANJIEA
166,000217,HAHJYETFLJC,华安黄金易ETF联接C,指数型-其他,HUAANHUANGJINYIETFLIANJIEC
167,000218,GTHJETFLJA,国泰黄金ETF联接A,指数型-其他,GUOTAIHUANGJINETFLIANJIEA
168,000219,BSYYHH,博时裕益混合,混合型-灵活,BOSHIYUYIHUNHE
169,000220,FGYLBJHYHHA,富国医疗保健行业混合A,混合型-偏股,FUGUOYILIAOBAOJIANHANGYEHUNHEA
170,000221,HTFNNLDQKFZQA,汇添富年年利定期开放债券A,债券型-混合一级,HUITIANFUNIANNIANLIDINGQIKAIFANGZHAIQUANA
171,000222,HTFNNLDQKFZQC,汇添富年年利定期开放债券C,债券型-混合一级,HUITIANFUNIANNIANLIDINGQIKAIFANGZHAIQUANC
172,000227,HANNHZQA,华安年年红债券A,债券型-混合一级,HUAANNIANNIANHONGZHAIQUANA
173,000235,NAWGSYYNDQKFZQA,诺安稳固收益一年定期开放债券A,债券型-长债,NUOANWENGUSHOUYIYINIANDINGQIKAIFANGZHAIQUANA
174,000236,GYYYXDQZFZQA,工银月月薪定期支付债券A,债券型-混合二级,GONGYINYUEYUEXINDINGQIZHIFUZHAIQUANA
175,000239,HANNYDKZA,华安年年盈定开债A,债券型-混合一级,HUAANNIANNIANYINGDINGKAIZHAIA
176,000240,HANNYDKZC,华安年年盈定开债C,债券型-混合一级,HUAANNIANNIANYINGDINGKAIZHAIC
177,000241,BYHXYSHHC,宝盈核心优势混合C,混合型-灵活,BAOYINGHEXINYOUSHIHUNHEC
178,000242,JSCCCLJXLHPZHHA,景顺长城策略精选灵活配置混合A,混合型-灵活,JINGSHUNCHANGCHENGCELUEJINGXUANLINGHUOPEIZHIHUNHEA
179,000244,THWLDQKFA,天弘稳利定期开放A,债券型-混合一级,TIANHONGWENLIDINGQIKAIFANGA
180,000245,THWLDQKFB,天弘稳利定期开放B,债券型-混合一级,TIANHONGWENLIDINGQIKAIFANGB
181,000248,HTFZZZYXFETFLJA,汇添富中证主要消费ETF联接A,指数型-股票,HUITIANFUZHONGZHENGZHUYAOXIAOFEIETFLIANJIEA
182,000251,GYJRDCHHA,工银金融地产混合A,混合型-偏股,GONGYINJINRONGDICHANHUNHEA
183,000252,JSCCJXXYCZZQA,景顺长城景兴信用纯债债券A,债券型-长债,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANA
184,000253,JSCCJXXYCZZQC,景顺长城景兴信用纯债债券C,债券型-长债,JINGSHUNCHANGCHENGJINGXINGXINYONGCHUNZHAIZHAIQUANC
185,000254,CCZQSYDQKFZQA,长城增强收益定期开放债券A,债券型-混合一级,CHANGCHENGZENGQIANGSHOUYIDINGQIKAIFANGZHAIQUANA
186,000255,CCZQSYDQKFZQC,长城增强收益定期开放债券C,债券型-混合一级,CHANGCHENGZENGQIANGSHOUYIDINGQIKAIFANGZHAIQUANC
187,000259,NYQJSYHH,农银区间收益混合,混合型-灵活,NONGYINQUJIANSHOUYIHUNHE
188,000263,GYXXCYHHA,工银信息产业混合A,混合型-偏股,GONGYINXINXICHANYEHUNHEA
189,000264,BSNXZZHHA,博时内需增长混合A,混合型-灵活,BOSHINEIXUZENGZHANGHUNHEA
190,000265,YFDHJTL1NDKZA,易方达恒久添利1年定开债A,债券型-长债,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIA
191,000266,YFDHJTL1NDKZC,易方达恒久添利1年定开债C,债券型-长债,YIFANGDAHENGJIUTIANLI1NIANDINGKAIZHAIC
192,000267,GFJLYNDKZA,广发集利一年定开债A,债券型-长债,GUANGFAJILIYINIANDINGKAIZHAIA
193,000268,GFJLYNDKZC,广发集利一年定开债C,债券型-长债,GUANGFAJILIYINIANDINGKAIZHAIC
194,000270,JXLHPZHHA,建信灵活配置混合A,混合型-灵活,JIANXINLINGHUOPEIZHIHUNHEA
195,000271,ZYDKZQA,中邮定开债券A,债券型-长债,ZHONGYOUDINGKAIZHAIQUANA
196,000272,ZYDKZQC,中邮定开债券C,债券型-长债,ZHONGYOUDINGKAIZHAIQUANC
197,000273,HRYDAXLHPZHHA,华润元大安鑫灵活配置混合A,混合型-灵活,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEA
198,000274,GFYTZGSYZQDIIA,广发亚太中高收益债(QDII)A,QDII-纯债,GUANGFAYATAIZHONGGAOSHOUYIZHAIQDIIA
199,000275,GFYTZGSYZMYXHQDIIA,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,GUANGFAYATAIZHONGGAOSHOUYIZHAIMEIYUANXIANHUIQDIIA
200,000277,BSSYXDQZFZQ,博时双月薪定期支付债券,债券型-长债,BOSHISHUANGYUEXINDINGQIZHIFUZHAIQUAN
201,000279,HSHLYXHH,华商红利优选混合,混合型-灵活,HUASHANGHONGLIYOUXUANHUNHE
202,000286,YHXYJJHZQA,银华信用季季红债券A,债券型-混合一级,YINHUAXINYONGJIJIHONGZHAIQUANA
203,000289,PHFTDKZA,鹏华丰泰定开债A,债券型-混合一级,PENGHUAFENGTAIDINGKAIZHAIA
204,000290,PHQQGSYZQDII,鹏华全球高收益债(QDII),QDII-纯债,PENGHUAQUANQIUGAOSHOUYIZHAIQDII
205,000294,HASTYXHHA,华安生态优先混合A,混合型-偏股,HUAANSHENGTAIYOUXIANHUNHEA
206,000295,PHFSDQKFZQA,鹏华丰实定期开放债券A,债券型-混合一级,PENGHUAFENGSHIDINGQIKAIFANGZHAIQUANA
207,000296,PHFSDQKFZQB,鹏华丰实定期开放债券B,债券型-混合一级,PENGHUAFENGSHIDINGQIKAIFANGZHAIQUANB
208,000297,PHKZZZQA,鹏华可转债债券A,债券型-混合二级,PENGHUAKEZHUANZHAIZHAIQUANA
209,000298,ZHCZZQA,中海纯债债券A,债券型-长债,ZHONGHAICHUNZHAIZHAIQUANA
210,000299,ZHCZZQC,中海纯债债券C,债券型-长债,ZHONGHAICHUNZHAIZHAIQUANC
211,000300,DBDLHBA,德邦德利货币A,货币型-普通货币,DEBANGDELIHUOBIA
212,000301,DBDLHBB,德邦德利货币B,货币型-普通货币,DEBANGDELIHUOBIB
213,000305,ZYZGDJZQA,中银中高等级债券A,债券型-长债,ZHONGYINZHONGGAODENGJIZHAIQUANA
214,000306,THHLZQA,天弘弘利债券A,债券型-混合二级,TIANHONGHONGLIZHAIQUANA
215,000307,YFDHJETFLJA,易方达黄金ETF联接A,指数型-其他,YIFANGDAHUANGJINETFLIANJIEA
216,000308,JXCXZGHH,建信创新中国混合,混合型-偏股,JIANXINCHUANGXINZHONGGUOHUNHE
217,000309,DMPZSHJXGPA,大摩品质生活精选股票A,股票型,DAMOPINZHISHENGHUOJINGXUANGUPIAOA
218,000310,AXYLXYA,安信永利信用A,债券型-混合一级,ANXINYONGLIXINYONGA
219,000311,JSCCHS300ZSZQA,景顺长城沪深300指数增强A,指数型-股票,JINGSHUNCHANGCHENGHUSHEN300ZHISHUZENGQIANGA
